variable,core_mean,peri_mean,difference,p_value,cohens_d,glass delta
Total Amenities,21.85,9.820512820512821,12.02948717948718,0.00019998000199980003,0.9544635682993222,2.1670728444695113
Grocery Stores,2.55,1.4871794871794872,1.0628205128205126,0.014198580141985802,0.5725267144013052,0.7432661258002127
Parks,5.475,3.6153846153846154,1.8596153846153842,0.0221977802219778,0.5292438820895756,0.5740785154639503
Clinics,2.475,0.5641025641025641,1.910897435897436,0.00019998000199980003,0.9607515372168027,2.0003558085878144
Pharmacies,1.25,0.5641025641025641,0.6858974358974359,0.0057994200579942,0.6556906788682728,1.0213197458796217
