station_name,agency,latitude,longitude,GEOID,median_income,pct_no_vehicle,pct_nonwhite,total_pop,geometry,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,convenience,kindergarten,station_type,ridership,need_pct,supply_pct,supply_gap,unmet_need_index,amenity_entropy
Civic Center/UN Plaza,BART,37.779732,-122.414123,06075012405,113665.0,71.23,63.52,3764,POINT (-122.414123 37.779732),68,2,11,7,1,0,3,1,41,0,core,9172.0,0.9746835443037974,1.0,0.0,0.0,1.205763757084454
Coliseum,BART,37.753661,-122.196869,06001408800,42759.0,29.45,89.88,7461,POINT (-122.196869 37.753661),3,0,2,0,0,0,0,0,1,0,core,2670.0,0.8607594936708861,0.06962025316455696,0.930379746835443,0.8008331998077232,0.6365141682948128
Colma,BART,37.684638,-122.466233,06081601302,98417.0,7.99,89.7,4581,POINT (-122.466233 37.684638),8,0,1,0,1,0,0,0,6,0,peripheral,1528.0,0.46835443037974683,0.3037974683544304,0.6962025316455696,0.3260695401377984,0.7356219397587946
Concord,BART,37.973737,-122.029095,06013335000,175208.0,0.86,49.97,3494,POINT (-122.029095 37.973737),13,3,3,1,1,0,0,0,5,0,core,2660.0,0.05063291139240506,0.6012658227848101,0.3987341772151899,0.020189072264060248,1.438882950216986
Daly City,BART,37.706121,-122.469081,06081600701,93077.0,9.27,87.81,3135,POINT (-122.469081 37.706121),6,1,3,0,0,1,0,0,1,0,core,4864.0,0.5316455696202531,0.18354430379746836,0.8164556962025317,0.43406505367729525,1.242453324894
Downtown Berkeley,BART,37.870104,-122.268133,06001422902,60078.0,53.66,70.23,2214,POINT (-122.268133 37.870104),26,1,2,4,2,0,2,0,11,0,core,5587.0,0.9367088607594937,0.8734177215189873,0.12658227848101267,0.11857074186829035,1.451001156602802
Dublin/Pleasanton,BART,37.701687,-121.899179,06001450743,169415.0,5.07,78.6,7616,POINT (-121.899179 37.701687),17,1,14,1,0,0,0,0,1,0,core,3057.0,0.3037974683544304,0.6962025316455697,0.30379746835443033,0.09229290177856111,0.6598720137848266
El Cerrito del Norte,BART,37.925086,-122.316794,06013386000,83162.0,16.05,69.23,3793,POINT (-122.316794 37.925086),8,1,6,0,1,0,0,0,0,0,core,3819.0,0.7721518987341772,0.3037974683544304,0.6962025316455696,0.5375741067136677,0.7356219397587946
El Cerrito Plaza,BART,37.902632,-122.298904,06013389100,85045.0,16.7,67.66,2316,POINT (-122.298904 37.902632),18,3,9,1,1,0,1,0,3,0,core,2074.0,0.7974683544303798,0.7088607594936709,0.2911392405063291,0.23217433103669285,1.4255553730053516
Embarcadero,BART,37.792874,-122.39702,06075011700,51464.0,76.11,54.96,1914,POINT (-122.39702 37.792874),37,2,16,9,3,0,1,0,6,0,core,17741.0,1.0,0.8987341772151899,0.10126582278481011,0.10126582278481011,1.4604009182021969
