variable,core_mean,core_sd,peri_mean,peri_sd,difference,ci_low,ci_high,p_value,cohens_d,effect_size
Total Amenities,18.20967741935484,14.914960119953815,8.526315789473685,4.7613401591152185,9.683361629881155,5.407088285229202,14.08573853989813,0.0005999400059994001,0.874673782935255,large
Diversity Score,2.903225806451613,1.04278902420933,2.5789473684210527,1.1385951396202072,0.32427843803056033,-0.2745118845500851,0.8498514431239388,0.3167683231676832,0.2970280392180716,small
Grocery Stores,2.129032258064516,2.051623047246174,1.631578947368421,1.3845206776806214,0.497453310696095,-0.31844227504244477,1.2565152801358233,0.3671632836716328,0.2842345652308736,small
Parks,4.919354838709677,3.624728630985089,3.210526315789474,3.2538066349628907,1.7088285229202032,-0.21419779286926952,3.3027801358234288,0.06679332066793321,0.4961374323778983,small
Clinics,1.9516129032258065,2.432491218396367,0.3684210526315789,0.48237638894272,1.5831918505942275,0.9251910016977929,2.3090831918505943,0.001999800019998,0.9028623863548442,large
Pharmacies,0.967741935483871,1.1495825600777714,0.6842105263157895,0.8616160812497315,0.2835314091680815,-0.2259125636672326,0.7446731748726653,0.40435956404359563,0.2791062096228574,small
