,station_id,name,latitude,longitude,address,city,county,zipcode,agency,mode,geometry
16,DUBL,Dublin/Pleasanton,37.701687,-121.899179,5801 Owens Dr.,Pleasanton,alameda,94588,BART,Heavy Rail,POINT (-121.899179 37.701687)
17,DELN,El Cerrito del Norte,37.925086,-122.316794,6400 Cutting Blvd.,El Cerrito,contracosta,94530,BART,Heavy Rail,POINT (-122.316794 37.925086)
18,PLZA,El Cerrito Plaza,37.902632,-122.298904,6699 Fairmount Avenue,El Cerrito,contracosta,94530,BART,Heavy Rail,POINT (-122.298904 37.902632)
19,EMBR,Embarcadero,37.792874,-122.39702,298 Market Street,San Francisco,sanfrancisco,94111,BART,Heavy Rail,POINT (-122.39702 37.792874)
20,FRMT,Fremont,37.557465,-121.976608,2000 BART Way,Fremont,alameda,94536,BART,Heavy Rail,POINT (-121.976608 37.557465)
21,FTVL,Fruitvale,37.774836,-122.224175,3401 East 12th Street,Oakland,alameda,94601,BART,Heavy Rail,POINT (-122.224175 37.774836)
22,GLEN,Glen Park,37.733064,-122.433817,2901 Diamond Street,San Francisco,sanfrancisco,94131,BART,Heavy Rail,POINT (-122.433817 37.733064)
23,HAYW,Hayward,37.669723,-122.087018,699 'B' Street,Hayward,alameda,94541,BART,Heavy Rail,POINT (-122.087018 37.669723)
24,LAFY,Lafayette,37.893176,-122.12463,3601 Deer Hill Road,Lafayette,contracosta,94549,BART,Heavy Rail,POINT (-122.12463 37.893176)
25,LAKE,Lake Merritt,37.797027,-122.26518,800 Madison Street,Oakland,alameda,94607,BART,Heavy Rail,POINT (-122.26518 37.797027)
26,MCAR,MacArthur,37.829065,-122.26704,555 40th Street,Oakland,alameda,94609,BART,Heavy Rail,POINT (-122.26704 37.829065)
27,MLBR,Millbrae,37.600271,-122.386702,200 North Rollins Road,Millbrae,sanmateo,94030,BART,Heavy Rail,POINT (-122.386702 37.600271)
28,MLPT,Milpitas,37.410277,-121.891081,1755 S. Milpitas Blvd.,Milpitas,Santa Clara,95035,BART,Heavy Rail,POINT (-121.891081 37.410277)
29,MONT,Montgomery St.,37.789405,-122.401066,598 Market Street,San Francisco,sanfrancisco,94104,BART,Heavy Rail,POINT (-122.401066 37.789405)
30,NBRK,North Berkeley,37.873967,-122.28344,1750 Sacramento Street,Berkeley,alameda,94702,BART,Heavy Rail,POINT (-122.28344 37.873967)
31,NCON,North Concord/Martinez,38.003193,-122.024653,3700 Port Chicago Highway,Concord,contracosta,94520,BART,Heavy Rail,POINT (-122.024653 38.003193)
32,OAKL,Oakland International Airport,37.713238,-122.212191,4 Airport Drive,Oakland,alameda,94621,BART,Heavy Rail,POINT (-122.212191 37.713238)
33,ORIN,Orinda,37.878361,-122.183791,11 Camino Pablo,Orinda,contracosta,94563,BART,Heavy Rail,POINT (-122.183791 37.878361)
34,PITT,Pittsburg/Bay Point,38.018914,-121.945154,1700 West Leland Road,Pittsburg,contracosta,94565,BART,Heavy Rail,POINT (-121.945154 38.018914)
35,PCTR,Pittsburg Center,38.016941,-121.889457,2099 Railroad Avenue,Pittsburg,Contra Costa,94565,BART,Heavy Rail,POINT (-121.889457 38.016941)
36,PHIL,Pleasant Hill/Contra Costa Centre,37.928468,-122.056012,1365 Treat Blvd.,Walnut Creek,contracosta,94597,BART,Heavy Rail,POINT (-122.056012 37.928468)
37,POWL,Powell St.,37.784471,-122.407974,899 Market Street,San Francisco,sanfrancisco,94102,BART,Heavy Rail,POINT (-122.407974 37.784471)
38,RICH,Richmond,37.936853,-122.353099,1700 Nevin Avenue,Richmond,contracosta,94801,BART,Heavy Rail,POINT (-122.353099 37.936853)
39,ROCK,Rockridge,37.844702,-122.251371,5660 College Avenue,Oakland,alameda,94618,BART,Heavy Rail,POINT (-122.251371 37.844702)
40,SBRN,San Bruno,37.637761,-122.416287,1151 Huntington Avenue,San Bruno,sanmateo,94066,BART,Heavy Rail,POINT (-122.416287 37.637761)
41,SFIA,San Francisco International Airport,37.615966,-122.392409,"International Terminal, Level 3",San Francisco Int'l Airport,sanmateo,94128,BART,Heavy Rail,POINT (-122.392409 37.615966)
42,SANL,San Leandro,37.721947,-122.160844,1401 San Leandro Blvd.,San Leandro,alameda,94577,BART,Heavy Rail,POINT (-122.160844 37.721947)
43,SHAY,South Hayward,37.634375,-122.057189,28601 Dixon Street,Hayward,alameda,94544,BART,Heavy Rail,POINT (-122.057189 37.634375)
44,SSAN,South San Francisco,37.664245,-122.44396,1333 Mission Road,South San Francisco,sanmateo,94080,BART,Heavy Rail,POINT (-122.44396 37.664245)
45,UCTY,Union City,37.59063,-122.017388,10 Union Square,Union City,alameda,94587,BART,Heavy Rail,POINT (-122.017388 37.59063)
46,WCRK,Walnut Creek,37.905522,-122.067527,200 Ygnacio Valley Road,Walnut Creek,contracosta,94596,BART,Heavy Rail,POINT (-122.067527 37.905522)
47,WARM,Warm Springs/South Fremont,37.502171,-121.939313,45193 Warm Springs Blvd,Fremont,alameda,94539,BART,Heavy Rail,POINT (-121.939313 37.502171)
48,WDUB,West Dublin/Pleasanton,37.699756,-121.92824,6501 Golden Gate Drive,Dublin,alameda,94568,BART,Heavy Rail,POINT (-121.92824 37.699756)
49,WOAK,West Oakland,37.804872,-122.29514,1451 7th Street,Oakland,alameda,94607,BART,Heavy Rail,POINT (-122.29514 37.804872)
50,22nd_street,22nd Street,37.756972,-122.392492,,,,,Caltrain,Commuter Rail,POINT (-122.392492 37.756972)
51,bayshore,Bayshore,37.70766,-122.401665,,,,,Caltrain,Commuter Rail,POINT (-122.401665 37.70766)
52,belmont,Belmont,37.52133,-122.2763,,,,,Caltrain,Commuter Rail,POINT (-122.2763 37.52133)
53,blossom_hill,Blossom Hill Caltrain Station,37.252606,-121.797907,,,,,Caltrain,Commuter Rail,POINT (-121.797907 37.252606)
54,broadway,Broadway,37.58726,-122.362,,,,,Caltrain,Commuter Rail,POINT (-122.362 37.58726)
55,burlingame,Burlingame,37.57985,-122.34418,,,,,Caltrain,Commuter Rail,POINT (-122.34418 37.57985)
56,california_ave,California Avenue,37.428834,-122.14113,,,,,Caltrain,Commuter Rail,POINT (-122.14113 37.428834)
57,capitol,Capitol Caltrain Station,37.284016,-121.841899,,,,,Caltrain,Commuter Rail,POINT (-121.841899 37.284016)
58,college_park,College Park,37.34289,-121.91565,,,,,Caltrain,Commuter Rail,POINT (-121.91565 37.34289)
59,gilroy,Gilroy,37.004466,-121.566727,,,,,Caltrain,Commuter Rail,POINT (-121.566727 37.004466)
60,hayward_park,Hayward Park,37.553161,-122.309494,,,,,Caltrain,Commuter Rail,POINT (-122.309494 37.553161)
61,hillsdale,Hillsdale,37.542392678,-122.301612061,,,,,Caltrain,Commuter Rail,POINT (-122.301612061 37.542392678)
62,lawrence,Lawrence,37.3707,-121.9969,,,,,Caltrain,Commuter Rail,POINT (-121.9969 37.3707)
63,menlo_park,Menlo Park,37.4548,-122.18245,,,,,Caltrain,Commuter Rail,POINT (-122.18245 37.4548)
64,place_MLBR,Millbrae,37.5999,-122.38675,,,,,Caltrain,Commuter Rail,POINT (-122.38675 37.5999)
