,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county,zipcode,agency,mode,geometry,station_id_y,station_type
14,14,DALY,Daly City,37.706121,-122.469081,500 John Daly Blvd.,Daly City,sanmateo,94014.0,BART,Heavy Rail,POINT (-122.469081 37.706121),Daly City,core
15,15,DBRK,Downtown Berkeley,37.870104,-122.268133,2160 Shattuck Avenue,Berkeley,alameda,94704.0,BART,Heavy Rail,POINT (-122.268133 37.870104),Downtown Berkeley,core
16,16,DUBL,Dublin/Pleasanton,37.701687,-121.899179,5801 Owens Dr.,Pleasanton,alameda,94588.0,BART,Heavy Rail,POINT (-121.899179 37.701687),Dublin/Pleasanton,core
17,17,DELN,El Cerrito del Norte,37.925086,-122.316794,6400 Cutting Blvd.,El Cerrito,contracosta,94530.0,BART,Heavy Rail,POINT (-122.316794 37.925086),El Cerrito del Norte,core
18,18,PLZA,El Cerrito Plaza,37.902632,-122.298904,6699 Fairmount Avenue,El Cerrito,contracosta,94530.0,BART,Heavy Rail,POINT (-122.298904 37.902632),El Cerrito Plaza,peripheral
19,19,EMBR,Embarcadero,37.792874,-122.39702,298 Market Street,San Francisco,sanfrancisco,94111.0,BART,Heavy Rail,POINT (-122.39702 37.792874),Embarcadero,core
20,20,FRMT,Fremont,37.557465,-121.976608,2000 BART Way,Fremont,alameda,94536.0,BART,Heavy Rail,POINT (-121.976608 37.557465),Fremont,core
21,21,FTVL,Fruitvale,37.774836,-122.224175,3401 East 12th Street,Oakland,alameda,94601.0,BART,Heavy Rail,POINT (-122.224175 37.774836),Fruitvale,core
22,22,GLEN,Glen Park,37.733064,-122.433817,2901 Diamond Street,San Francisco,sanfrancisco,94131.0,BART,Heavy Rail,POINT (-122.433817 37.733064),Glen Park,core
23,23,HAYW,Hayward,37.669723,-122.087018,699 'B' Street,Hayward,alameda,94541.0,BART,Heavy Rail,POINT (-122.087018 37.669723),Hayward,peripheral
24,24,LAFY,Lafayette,37.893176,-122.12463,3601 Deer Hill Road,Lafayette,contracosta,94549.0,BART,Heavy Rail,POINT (-122.12463 37.893176),Lafayette,peripheral
25,25,LAKE,Lake Merritt,37.797027,-122.26518,800 Madison Street,Oakland,alameda,94607.0,BART,Heavy Rail,POINT (-122.26518 37.797027),Lake Merritt,core
26,26,MCAR,MacArthur,37.829065,-122.26704,555 40th Street,Oakland,alameda,94609.0,BART,Heavy Rail,POINT (-122.26704 37.829065),MacArthur,core
27,27,MLBR,Millbrae,37.600271,-122.386702,200 North Rollins Road,Millbrae,sanmateo,94030.0,BART,Heavy Rail,POINT (-122.386702 37.600271),Millbrae,core
28,28,MLPT,Milpitas,37.410277,-121.891081,1755 S. Milpitas Blvd.,Milpitas,Santa Clara,95035.0,BART,Heavy Rail,POINT (-121.891081 37.410277),Milpitas,peripheral
29,29,MONT,Montgomery St.,37.789405,-122.401066,598 Market Street,San Francisco,sanfrancisco,94104.0,BART,Heavy Rail,POINT (-122.401066 37.789405),Montgomery St.,core
30,30,NBRK,North Berkeley,37.873967,-122.28344,1750 Sacramento Street,Berkeley,alameda,94702.0,BART,Heavy Rail,POINT (-122.28344 37.873967),North Berkeley,peripheral
31,31,NCON,North Concord/Martinez,38.003193,-122.024653,3700 Port Chicago Highway,Concord,contracosta,94520.0,BART,Heavy Rail,POINT (-122.024653 38.003193),North Concord/Martinez,peripheral
32,32,OAKL,Oakland International Airport,37.713238,-122.212191,4 Airport Drive,Oakland,alameda,94621.0,BART,Heavy Rail,POINT (-122.212191 37.713238),Oakland International Airport,peripheral
33,33,ORIN,Orinda,37.878361,-122.183791,11 Camino Pablo,Orinda,contracosta,94563.0,BART,Heavy Rail,POINT (-122.183791 37.878361),Orinda,peripheral
34,34,PITT,Pittsburg/Bay Point,38.018914,-121.945154,1700 West Leland Road,Pittsburg,contracosta,94565.0,BART,Heavy Rail,POINT (-121.945154 38.018914),Pittsburg/Bay Point,peripheral
35,35,PCTR,Pittsburg Center,38.016941,-121.889457,2099 Railroad Avenue,Pittsburg,Contra Costa,94565.0,BART,Heavy Rail,POINT (-121.889457 38.016941),Pittsburg Center,peripheral
