,station,geoid,state_x,county_x,tract_x,tract_name,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county_y,zipcode,agency,mode,geometry,station_id_y,station_type,NAME,total_pop,median_age,total_pop_race,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,other_race_alone,two_or_more_races,median_household_income,per_capita_income,total_pop_poverty_calc,pop_below_poverty,total_housing_units,total_occupied_units,owner_occupied,renter_occupied,total_households,owner_occ_no_vehicle,renter_occ_no_vehicle,median_gross_rent,median_home_value,total_workers_16plus,drove_alone,public_transit_commuters,bicycle_commuters,walked_commuters,worked_from_home,aggregate_travel_time_mins,labor_force,employed,unemployed,pop_25plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,foreign_born,total_pop_nativity,state_y,county,tract_y,GEOID,county_name,households_no_vehicle,pct_no_vehicle,pop_nonwhite,pct_nonwhite,pct_white,pct_black,pct_asian,poverty_rate,pct_renter,pct_owner,pct_transit_commute,pct_drove_alone,pct_bike_commute,pct_walk_commute,pct_wfh,mean_travel_time_mins,unemployment_rate,pop_bachelors_plus,pct_bachelors_plus,pct_foreign_born
10,Civic Center/UN Plaza,06075012405,06,075,012405,Census Tract 124.05,10,CIVC,Civic Center/UN Plaza,37.779732,-122.414123,1150 Market Street,San Francisco,sanfrancisco,94102.0,BART,Heavy Rail,POINT (-122.414123 37.779732),Civic Center/UN Plaza,core,Census Tract 124.05; San Francisco County; California,3764,32.6,3764,1373,590,77,667,0,99,958,113665.0,110046.0,3587,464,2701,2579,37,2542,2579,20,1817,2227.0,,2770,293,881,69,473,1007,52765.0,3009,2918,91,3175,1747,536,43,74,1460,3764,6,75,12405,06075012405,San Francisco,1837,71.23,2391,63.52,36.48,15.67,17.72,12.94,98.57,1.43,31.81,10.58,2.49,17.08,36.35,19.05,3.02,2400,75.59,38.79
11,Coliseum,06001408800,06,001,408800,Census Tract 4088,11,COLS,Coliseum,37.753661,-122.196869,7200 San Leandro St.,Oakland,alameda,94621.0,BART,Heavy Rail,POINT (-122.196869 37.753661),Coliseum,core,Census Tract 4088; Alameda County; California,7461,29.2,7461,755,2509,40,545,0,2096,1516,42759.0,20217.0,7445,2012,2470,2397,442,1955,2397,22,684,942.0,559100.0,3045,1636,320,0,0,354,,3379,3045,334,4500,448,52,0,0,2574,7461,6,1,408800,06001408800,Alameda,706,29.45,6706,89.88,10.12,33.63,7.3,27.02,81.56,18.44,10.51,53.73,0.0,0.0,11.63,,9.88,500,11.11,34.5
12,Colma,06081601302,06,081,601302,Census Tract 6013.02,12,COLM,Colma,37.684638,-122.466233,365 D Street,Colma,sanmateo,94014.0,BART,Heavy Rail,POINT (-122.466233 37.684638),Colma,peripheral,Census Tract 6013.02; San Mateo County; California,4581,35.5,4581,472,82,259,2861,1,410,496,98417.0,44209.0,4581,126,1608,1527,598,929,1527,0,122,1967.0,961700.0,2587,1439,289,41,113,370,57235.0,2758,2590,146,3323,648,123,18,0,1878,4581,6,81,601302,06081601302,San Mateo,122,7.99,4109,89.7,10.3,1.79,62.45,2.75,60.84,39.16,11.17,55.62,1.58,4.37,14.3,22.12,5.29,789,23.74,41.0
13,Concord,06013335000,06,013,335000,Census Tract 3350,13,CONC,Concord,37.973737,-122.029095,1451 Oakland Avenue,Concord,contracosta,94520.0,BART,Heavy Rail,POINT (-122.029095 37.973737),Concord,core,Census Tract 3350; Contra Costa County; California,3494,36.8,3494,1748,43,18,420,0,317,948,175208.0,58458.0,3492,258,1239,1166,910,256,1166,0,10,2420.0,823100.0,1741,1007,104,14,2,472,,1896,1840,56,2612,693,237,52,72,684,3494,6,13,335000,06013335000,Contra Costa,10,0.86,1746,49.97,50.03,1.23,12.02,7.39,21.96,78.04,5.97,57.84,0.8,0.11,27.11,,2.95,1054,40.35,19.58
14,Daly City,06081600701,06,081,600701,Census Tract 6007.01,14,DALY,Daly City,37.706121,-122.469081,500 John Daly Blvd.,Daly City,sanmateo,94014.0,BART,Heavy Rail,POINT (-122.469081 37.706121),Daly City,core,Census Tract 6007.01; San Mateo County; California,3135,45.7,3135,382,79,0,1899,0,231,544,93077.0,44633.0,3133,263,1436,1100,749,351,1100,61,41,2149.0,1023000.0,2014,770,360,0,67,200,70095.0,2138,2014,124,2511,534,153,31,50,1816,3135,6,81,600701,06081600701,San Mateo,102,9.27,2753,87.81,12.19,2.52,60.57,8.39,31.91,68.09,17.87,38.23,0.0,3.33,9.93,34.8,5.8,768,30.59,57.93
15,Downtown Berkeley,06001422902,06,001,422902,Census Tract 4229.02,15,DBRK,Downtown Berkeley,37.870104,-122.268133,2160 Shattuck Avenue,Berkeley,alameda,94704.0,BART,Heavy Rail,POINT (-122.268133 37.870104),Downtown Berkeley,core,Census Tract 4229.02; Alameda County; California,2214,23.8,2214,659,105,26,905,0,292,227,60078.0,39923.0,2214,947,1543,1271,0,1271,1271,0,682,1835.0,,1046,70,112,27,231,566,,1113,1106,7,1011,310,136,13,107,815,2214,6,1,422902,06001422902,Alameda,682,53.66,1555,70.23,29.77,4.74,40.88,42.77,100.0,0.0,10.71,6.69,2.58,22.08,54.11,,0.63,566,55.98,36.81
16,Dublin/Pleasanton,06001450743,06,001,450743,Census Tract 4507.43,16,DUBL,Dublin/Pleasanton,37.701687,-121.899179,5801 Owens Dr.,Pleasanton,alameda,94588.0,BART,Heavy Rail,POINT (-121.899179 37.701687),Dublin/Pleasanton,core,Census Tract 4507.43; Alameda County; California,7616,37.4,7616,1630,518,137,4211,0,463,657,169415.0,74068.0,7616,475,3236,3059,803,2256,3059,82,73,3170.0,1056900.0,4446,2285,324,66,84,1089,129630.0,4757,4462,295,5602,2139,1351,212,205,3813,7616,6,1,450743,06001450743,Alameda,155,5.07,5986,78.6,21.4,6.8,55.29,6.24,73.75,26.25,7.29,51.39,1.48,1.89,24.49,29.16,6.2,3907,69.74,50.07
17,El Cerrito del Norte,06013386000,06,013,386000,Census Tract 3860,17,DELN,El Cerrito del Norte,37.925086,-122.316794,6400 Cutting Blvd.,El Cerrito,contracosta,94530.0,BART,Heavy Rail,POINT (-122.316794 37.925086),El Cerrito del Norte,core,Census Tract 3860; Contra Costa County; California,3793,33.0,3793,1167,427,6,1464,0,264,465,83162.0,44570.0,3793,661,1605,1539,395,1144,1539,20,227,2595.0,897300.0,1931,730,596,21,63,404,,2210,2010,200,2762,1058,398,44,172,1773,3793,6,13,386000,06013386000,Contra Costa,247,16.05,2626,69.23,30.77,11.26,38.6,17.43,74.33,25.67,30.86,37.8,1.09,3.26,20.92,,9.05,1672,60.54,46.74
18,El Cerrito Plaza,06013389100,06,013,389100,Census Tract 3891,18,PLZA,El Cerrito Plaza,37.902632,-122.298904,6699 Fairmount Avenue,El Cerrito,contracosta,94530.0,BART,Heavy Rail,POINT (-122.298904 37.902632),El Cerrito Plaza,peripheral,Census Tract 3891; Contra Costa County; California,2316,38.6,2316,749,166,15,837,0,125,424,85045.0,57879.0,2316,125,1167,1120,322,798,1120,30,157,2390.0,1046400.0,1295,558,208,10,43,433,25750.0,1388,1310,78,1775,553,355,109,24,681,2316,6,13,389100,06013389100,Contra Costa,187,16.7,1567,67.66,32.34,7.17,36.14,5.4,71.25,28.75,16.06,43.09,0.77,3.32,33.44,19.88,5.62,1041,58.65,29.4
19,Embarcadero,06075011700,06,075,011700,Census Tract 117,19,EMBR,Embarcadero,37.792874,-122.39702,298 Market Street,San Francisco,sanfrancisco,94111.0,BART,Heavy Rail,POINT (-122.39702 37.792874),Embarcadero,core,Census Tract 117; San Francisco County; California,1914,48.6,1914,862,27,19,568,0,121,317,51464.0,75161.0,1878,368,1303,1105,194,911,1105,130,711,1533.0,1182500.0,935,115,149,0,425,196,,1182,940,242,1683,598,190,121,33,765,1914,6,75,11700,06075011700,San Francisco,841,76.11,1052,54.96,45.04,1.41,29.68,19.6,82.44,17.56,15.94,12.3,0.0,45.45,20.96,,20.47,942,55.97,39.97
20,Fremont,06001441924,06,001,441924,Census Tract 4419.24,20,FRMT,Fremont,37.557465,-121.976608,2000 BART Way,Fremont,alameda,94536.0,BART,Heavy Rail,POINT (-121.976608 37.557465),Fremont,core,Census Tract 4419.24; Alameda County; California,7588,34.7,7588,1324,47,31,4994,35,382,775,190826.0,72678.0,7588,736,2983,2756,1450,1306,2756,24,69,3352.0,1075700.0,4228,2348,144,36,0,1140,,4596,4393,203,5598,2060,1449,188,201,3899,7588,6,1,441924,06001441924,Alameda,93,3.37,6264,82.55,17.45,0.62,65.81,9.7,47.39,52.61,3.41,55.53,0.85,0.0,26.96,,4.42,3898,69.63,51.38
21,Fruitvale,06001406100,06,001,406100,Census Tract 4061,21,FTVL,Fruitvale,37.774836,-122.224175,3401 East 12th Street,Oakland,alameda,94601.0,BART,Heavy Rail,POINT (-122.224175 37.774836),Fruitvale,core,Census Tract 4061; Alameda County; California,5810,36.4,5810,1113,964,188,1210,19,1781,535,73267.0,41191.0,5790,1179,2240,2114,612,1502,2114,10,351,1946.0,750000.0,2759,1307,346,11,146,698,58790.0,3068,2812,256,4209,681,458,98,88,1932,5810,6,1,406100,06001406100,Alameda,361,17.08,4697,80.84,19.16,16.59,20.83,20.36,71.05,28.95,12.54,47.37,0.4,5.29,25.3,21.31,8.34,1325,31.48,33.25
22,Glen Park,06075031100,06,075,031100,Census Tract 311,22,GLEN,Glen Park,37.733064,-122.433817,2901 Diamond Street,San Francisco,sanfrancisco,94131.0,BART,Heavy Rail,POINT (-122.433817 37.733064),Glen Park,core,Census Tract 311; San Francisco County; California,6073,44.1,6073,2537,195,0,2312,0,430,599,200545.0,97020.0,6073,302,2489,2372,1432,940,2372,160,96,3138.0,1521100.0,3823,1423,913,17,1,1110,78865.0,4126,3882,244,4652,1807,706,220,235,1665,6073,6,75,31100,06075031100,San Francisco,256,10.79,3536,58.22,41.78,3.21,38.07,4.97,39.63,60.37,23.88,37.22,0.44,0.03,29.03,20.63,5.91,2968,63.8,27.42
23,Hayward,06001436302,06,001,436302,Census Tract 4363.02,23,HAYW,Hayward,37.669723,-122.087018,699 'B' Street,Hayward,alameda,94541.0,BART,Heavy Rail,POINT (-122.087018 37.669723),Hayward,peripheral,Census Tract 4363.02; Alameda County; California,3712,38.3,3712,855,591,94,712,24,923,513,96233.0,48261.0,3662,159,1260,1260,378,882,1260,13,15,2241.0,663200.0,2318,1655,109,9,7,298,,2502,2371,131,2940,837,143,0,36,1298,3712,6,1,436302,06001436302,Alameda,28,2.22,2857,76.97,23.03,15.92,19.18,4.34,70.0,30.0,4.7,71.4,0.39,0.3,12.86,,5.24,1016,34.56,34.97
24,Lafayette,06013348000,06,013,348000,Census Tract 3480,24,LAFY,Lafayette,37.893176,-122.12463,3601 Deer Hill Road,Lafayette,contracosta,94549.0,BART,Heavy Rail,POINT (-122.12463 37.893176),Lafayette,peripheral,Census Tract 3480; Contra Costa County; California,4888,43.4,4888,3823,0,0,368,1,11,685,250001.0,146307.0,4880,74,1704,1605,1477,128,1605,18,0,3501.0,2000001.0,1968,861,141,0,88,734,38410.0,2068,1994,74,3141,1431,765,375,130,427,4888,6,13,348000,06013348000,Contra Costa,18,1.12,1065,21.79,78.21,0.0,7.53,1.52,7.98,92.02,7.16,43.75,0.0,4.47,37.3,19.52,3.58,2701,85.99,8.74
25,Lake Merritt,06001403302,06,001,403302,Census Tract 4033.02,25,LAKE,Lake Merritt,37.797027,-122.26518,800 Madison Street,Oakland,alameda,94607.0,BART,Heavy Rail,POINT (-122.26518 37.797027),Lake Merritt,core,Census Tract 4033.02; Alameda County; California,2819,31.9,2819,1073,121,0,691,0,194,740,144813.0,114040.0,2819,101,1877,1726,402,1324,1726,46,166,3188.0,647100.0,2359,713,462,82,98,882,,2450,2328,86,2522,1248,516,91,82,503,2819,6,1,403302,06001403302,Alameda,212,12.28,1746,61.94,38.06,4.29,24.51,3.58,76.71,23.29,19.58,30.22,3.48,4.15,37.39,,3.51,1937,76.8,17.84
26,MacArthur,06001401100,06,001,401100,Census Tract 4011,26,MCAR,MacArthur,37.829065,-122.26704,555 40th Street,Oakland,alameda,94609.0,BART,Heavy Rail,POINT (-122.26704 37.829065),MacArthur,core,Census Tract 4011; Alameda County; California,5722,33.8,5722,2172,1549,0,793,0,518,690,96599.0,77655.0,5708,805,3138,2885,463,2422,2885,0,524,2292.0,1157100.0,3452,1098,715,222,90,1068,66465.0,3987,3554,433,4437,1356,959,266,166,1388,5722,6,1,401100,06001401100,Alameda,524,18.16,3550,62.04,37.96,27.07,13.86,14.1,83.95,16.05,20.71,31.81,6.43,2.61,30.94,19.25,10.86,2747,61.91,24.26
27,Millbrae,06081604400,06,081,604400,Census Tract 6044,27,MLBR,Millbrae,37.600271,-122.386702,200 North Rollins Road,Millbrae,sanmateo,94030.0,BART,Heavy Rail,POINT (-122.386702 37.600271),Millbrae,core,Census Tract 6044; San Mateo County; California,5131,43.4,5131,1376,44,31,2079,282,563,756,133654.0,64422.0,4943,353,2082,1922,835,1087,1922,0,131,3083.0,1204500.0,2722,1571,261,43,64,477,63590.0,3156,2808,348,3918,1065,485,80,107,2519,5131,6,81,604400,06081604400,San Mateo,131,6.82,3755,73.18,26.82,0.86,40.52,7.14,56.56,43.44,9.59,57.71,1.58,2.35,17.52,23.36,11.03,1737,44.33,49.09
28,Milpitas,06085504509,06,085,504509,Census Tract 5045.09,28,MLPT,Milpitas,37.410277,-121.891081,1755 S. Milpitas Blvd.,Milpitas,Santa Clara,95035.0,BART,Heavy Rail,POINT (-121.891081 37.410277),Milpitas,peripheral,Census Tract 5045.09; Santa Clara County; California,4921,32.0,4921,238,51,37,4266,0,43,286,181165.0,99247.0,4921,123,2262,2086,867,1219,2086,0,64,3090.0,1518400.0,2896,1616,125,0,16,1057,,3047,2896,151,3896,1528,1653,146,213,3299,4921,6,85,504509,06085504509,Santa Clara,64,3.07,4683,95.16,4.84,1.04,86.69,2.5,58.44,41.56,4.32,55.8,0.0,0.55,36.5,,4.96,3540,90.86,67.04
29,Montgomery St.,06075061501,06,075,061501,Census Tract 615.01,29,MONT,Montgomery St.,37.789405,-122.401066,598 Market Street,San Francisco,sanfrancisco,94104.0,BART,Heavy Rail,POINT (-122.401066 37.789405),Montgomery St.,core,Census Tract 615.01; San Francisco County; California,1862,47.0,1862,842,36,0,775,28,98,83,229363.0,250455.0,1844,240,1921,1314,783,531,1314,118,270,3501.0,1540200.0,1274,316,135,0,526,201,,1324,1274,50,1711,427,730,52,62,894,1862,6,75,61501,06075061501,San Francisco,388,29.53,1020,54.78,45.22,1.93,41.62,13.02,40.41,59.59,10.6,24.8,0.0,41.29,15.78,,3.78,1271,74.28,48.01
