,station,geoid,state_x,county_x,tract_x,tract_name,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county_y,zipcode,agency,mode,geometry,station_id_y,station_type,NAME,total_pop,median_age,total_pop_race,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,other_race_alone,two_or_more_races,median_household_income,per_capita_income,total_pop_poverty_calc,pop_below_poverty,total_housing_units,total_occupied_units,owner_occupied,renter_occupied,total_households,owner_occ_no_vehicle,renter_occ_no_vehicle,median_gross_rent,median_home_value,total_workers_16plus,drove_alone,public_transit_commuters,bicycle_commuters,walked_commuters,worked_from_home,aggregate_travel_time_mins,labor_force,employed,unemployed,pop_25plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,foreign_born,total_pop_nativity,state_y,county,tract_y,GEOID,county_name,households_no_vehicle,pct_no_vehicle,pop_nonwhite,pct_nonwhite,pct_white,pct_black,pct_asian,poverty_rate,pct_renter,pct_owner,pct_transit_commute,pct_drove_alone,pct_bike_commute,pct_walk_commute,pct_wfh,mean_travel_time_mins,unemployment_rate,pop_bachelors_plus,pct_bachelors_plus,pct_foreign_born
30,North Berkeley,06001422200,06,001,422200,Census Tract 4222,30,NBRK,North Berkeley,37.873967,-122.28344,1750 Sacramento Street,Berkeley,alameda,94702.0,BART,Heavy Rail,POINT (-122.28344 37.873967),North Berkeley,peripheral,Census Tract 4222; Alameda County; California,3313,38.6,3313,2019,92,4,489,46,201,462,99379.0,84056.0,3308,188,1664,1512,684,828,1512,0,173,1940.0,1235200.0,1755,656,181,99,38,703,,1912,1807,105,2435,758,732,126,151,616,3313,6,1,422200,06001422200,Alameda,173,11.44,1294,39.06,60.94,2.78,14.76,5.68,54.76,45.24,10.31,37.38,5.64,2.17,40.06,,5.49,1767,72.57,18.59
31,North Concord/Martinez,06013355202,06,013,355202,Census Tract 3552.02,31,NCON,North Concord/Martinez,38.003193,-122.024653,3700 Port Chicago Highway,Concord,contracosta,94520.0,BART,Heavy Rail,POINT (-122.024653 38.003193),North Concord/Martinez,peripheral,Census Tract 3552.02; Contra Costa County; California,3803,35.6,3803,370,692,105,2149,40,155,292,136354.0,44354.0,3803,296,1187,1015,603,412,1015,35,0,2768.0,868200.0,1795,1265,100,0,0,174,,2035,1875,160,2497,518,253,32,79,1341,3803,6,13,355202,06013355202,Contra Costa,35,3.45,3433,90.27,9.73,18.2,56.51,7.78,40.59,59.41,5.57,70.47,0.0,0.0,9.69,,7.86,882,35.32,35.26
32,Oakland International Airport,06001409000,06,001,409000,Census Tract 4090,32,OAKL,Oakland International Airport,37.713238,-122.212191,4 Airport Drive,Oakland,alameda,94621.0,BART,Heavy Rail,POINT (-122.212191 37.713238),Oakland International Airport,peripheral,Census Tract 4090; Alameda County; California,4204,34.2,4204,187,1063,110,318,58,2148,320,75987.0,25497.0,4187,806,1108,1005,582,423,1005,39,26,1808.0,597000.0,1784,1152,70,24,308,162,35565.0,1981,1871,110,2769,268,72,15,0,1591,4204,6,1,409000,06001409000,Alameda,65,6.47,4017,95.55,4.45,25.29,7.56,19.25,42.09,57.91,3.92,64.57,1.35,17.26,9.08,19.94,5.55,355,12.82,37.84
33,Orinda,06013354001,06,013,354001,Census Tract 3540.01,33,ORIN,Orinda,37.878361,-122.183791,11 Camino Pablo,Orinda,contracosta,94563.0,BART,Heavy Rail,POINT (-122.183791 37.878361),Orinda,peripheral,Census Tract 3540.01; Contra Costa County; California,2255,46.7,2255,1560,0,0,364,0,71,260,231108.0,100762.0,2255,37,831,819,712,107,819,0,0,3501.0,1560400.0,989,510,123,0,14,293,,1029,994,35,1552,545,311,279,149,415,2255,6,13,354001,06013354001,Contra Costa,0,0.0,695,30.82,69.18,0.0,16.14,1.64,13.06,86.94,12.44,51.57,0.0,1.42,29.63,,3.4,1284,82.73,18.4
34,Pittsburg/Bay Point,06013355201,06,013,355201,Census Tract 3552.01,34,PITT,Pittsburg/Bay Point,38.018914,-121.945154,1700 West Leland Road,Pittsburg,contracosta,94565.0,BART,Heavy Rail,POINT (-121.945154 38.018914),Pittsburg/Bay Point,peripheral,Census Tract 3552.01; Contra Costa County; California,8798,38.2,8798,585,659,17,4297,596,1310,1334,173611.0,55124.0,8786,431,2681,2650,2168,482,2650,100,111,2885.0,743900.0,4928,3015,460,0,0,590,158090.0,5360,4950,410,6342,2075,673,127,92,3794,8798,6,13,355201,06013355201,Contra Costa,211,7.96,8213,93.35,6.65,7.49,48.84,4.91,18.19,81.81,9.33,61.18,0.0,0.0,11.97,32.08,7.65,2967,46.78,43.12
35,Pittsburg Center,06013313104,06,013,313104,Census Tract 3131.04,35,PCTR,Pittsburg Center,38.016941,-121.889457,2099 Railroad Avenue,Pittsburg,Contra Costa,94565.0,BART,Heavy Rail,POINT (-121.889457 38.016941),Pittsburg Center,peripheral,Census Tract 3131.04; Contra Costa County; California,3024,37.7,3024,824,390,0,658,0,594,558,60625.0,27733.0,3024,189,1105,1051,510,541,1051,0,128,2190.0,624000.0,1423,1224,51,0,0,98,,1564,1492,72,2252,175,62,34,0,960,3024,6,13,313104,06013313104,Contra Costa,128,12.18,2200,72.75,27.25,12.9,21.76,6.25,51.47,48.53,3.58,86.02,0.0,0.0,6.89,,4.6,271,12.03,31.75
36,Pleasant Hill/Contra Costa Centre,06013324003,06,013,324003,Census Tract 3240.03,36,PHIL,Pleasant Hill/Contra Costa Centre,37.928468,-122.056012,1365 Treat Blvd.,Walnut Creek,contracosta,94597.0,BART,Heavy Rail,POINT (-122.056012 37.928468),Pleasant Hill/Contra Costa Centre,core,Census Tract 3240.03; Contra Costa County; California,3266,34.7,3266,1495,255,85,844,0,162,425,93828.0,71002.0,3266,410,1925,1850,156,1694,1850,6,67,2545.0,613400.0,2113,1071,358,0,139,351,,2340,2070,191,2551,930,618,101,41,1334,3266,6,13,324003,06013324003,Contra Costa,73,3.95,1771,54.23,45.77,7.81,25.84,12.55,91.57,8.43,16.94,50.69,0.0,6.58,16.61,,8.16,1690,66.25,40.85
37,Powell St.,06075012503,06,075,012503,Census Tract 125.03,37,POWL,Powell St.,37.784471,-122.407974,899 Market Street,San Francisco,sanfrancisco,94102.0,BART,Heavy Rail,POINT (-122.407974 37.784471),Powell St.,core,Census Tract 125.03; San Francisco County; California,4772,42.8,4772,730,416,74,1989,0,1074,489,50696.0,29369.0,4699,1337,2774,2224,45,2179,2224,27,1629,1070.0,,1890,241,751,118,554,194,,2512,2090,422,3977,610,149,0,22,2363,4772,6,75,12503,06075012503,San Francisco,1656,74.46,4042,84.7,15.3,8.72,41.68,28.45,97.98,2.02,39.74,12.75,6.24,29.31,10.26,,16.8,781,19.64,49.52
38,Richmond,06013375000,06,013,375000,Census Tract 3750,38,RICH,Richmond,37.936853,-122.353099,1700 Nevin Avenue,Richmond,contracosta,94801.0,BART,Heavy Rail,POINT (-122.353099 37.936853),Richmond,peripheral,Census Tract 3750; Contra Costa County; California,5367,25.7,5367,473,234,459,244,0,2257,1700,77667.0,24006.0,5362,791,1494,1456,573,883,1456,26,118,1619.0,622500.0,2505,1701,97,0,70,156,85745.0,2846,2538,293,2806,130,40,9,0,2612,5367,6,13,375000,06013375000,Contra Costa,144,9.89,4894,91.19,8.81,4.36,4.55,14.75,60.65,39.35,3.87,67.9,0.0,2.79,6.23,34.23,10.3,179,6.38,48.67
39,Rockridge,06001400300,06,001,400300,Census Tract 4003,39,ROCK,Rockridge,37.844702,-122.251371,5660 College Avenue,Oakland,alameda,94618.0,BART,Heavy Rail,POINT (-122.251371 37.844702),Rockridge,core,Census Tract 4003; Alameda County; California,5990,41.0,5990,3615,518,22,489,0,299,1047,176618.0,113042.0,5978,256,2984,2888,1245,1643,2888,23,443,2363.0,1751200.0,3555,1164,661,84,84,1354,72075.0,3922,3680,242,4789,1615,1480,605,248,903,5990,6,1,400300,06001400300,Alameda,466,16.14,2375,39.65,60.35,8.65,8.16,4.28,56.89,43.11,18.59,32.74,2.36,2.36,38.09,20.27,6.17,3948,82.44,15.08
40,San Bruno,06081604102,06,081,604102,Census Tract 6041.02,40,SBRN,San Bruno,37.637761,-122.416287,1151 Huntington Avenue,San Bruno,sanmateo,94066.0,BART,Heavy Rail,POINT (-122.416287 37.637761),San Bruno,peripheral,Census Tract 6041.02; San Mateo County; California,3030,36.4,3030,953,52,0,1498,0,113,414,100789.0,88093.0,3030,247,1804,1708,505,1203,1708,52,87,2791.0,659500.0,2005,1046,104,0,197,490,34605.0,2262,2092,156,2601,834,516,70,80,1352,3030,6,81,604102,06081604102,San Mateo,139,8.14,2077,68.55,31.45,1.72,49.44,8.15,70.43,29.57,5.19,52.17,0.0,9.83,24.44,17.26,6.9,1500,57.67,44.62
41,San Francisco International Airport,06081984300,06,081,984300,Census Tract 9843,41,SFIA,San Francisco International Airport,37.615966,-122.392409,"International Terminal, Level 3",San Francisco Int'l Airport,sanmateo,94128.0,BART,Heavy Rail,POINT (-122.392409 37.615966),San Francisco International Airport,core,Census Tract 9843; San Mateo County; California,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6,81,984300,06081984300,San Mateo,0,,0,,,,,,,,,,,,,,,0,,
42,San Leandro,06001432601,06,001,432601,Census Tract 4326.01,42,SANL,San Leandro,37.721947,-122.160844,1401 San Leandro Blvd.,San Leandro,alameda,94577.0,BART,Heavy Rail,POINT (-122.160844 37.721947),San Leandro,core,Census Tract 4326.01; Alameda County; California,3978,38.5,3978,1100,722,21,1010,0,626,499,91835.0,47889.0,3925,566,1950,1780,704,1076,1780,99,176,2137.0,560200.0,2270,808,433,0,14,663,52590.0,2417,2327,90,3065,549,600,80,43,1236,3978,6,1,432601,06001432601,Alameda,275,15.45,2878,72.35,27.65,18.15,25.39,14.42,60.45,39.55,19.07,35.59,0.0,0.62,29.21,23.17,3.72,1272,41.5,31.07
43,South Hayward,06001435104,06,001,435104,Census Tract 4351.04,43,SHAY,South Hayward,37.634375,-122.057189,28601 Dixon Street,Hayward,alameda,94544.0,BART,Heavy Rail,POINT (-122.057189 37.634375),South Hayward,peripheral,Census Tract 4351.04; Alameda County; California,7752,32.8,7752,951,719,115,3032,313,1837,785,123049.0,65722.0,7747,455,2862,2754,1127,1627,2754,0,15,2393.0,870300.0,4053,2179,446,0,123,667,,4758,4474,265,5697,1765,459,45,169,3265,7752,6,1,435104,06001435104,Alameda,15,0.54,6801,87.73,12.27,9.28,39.11,5.87,59.08,40.92,11.0,53.76,0.0,3.03,16.46,,5.57,2438,42.79,42.12
44,South San Francisco,06081601902,06,081,601902,Census Tract 6019.02,44,SSAN,South San Francisco,37.664245,-122.44396,1333 Mission Road,South San Francisco,sanmateo,94080.0,BART,Heavy Rail,POINT (-122.44396 37.664245),South San Francisco,peripheral,Census Tract 6019.02; San Mateo County; California,4960,41.3,4960,1199,179,27,2639,0,549,367,125096.0,63364.0,4960,113,2263,1927,714,1213,1927,14,147,2746.0,951600.0,3038,1402,317,0,0,778,68075.0,3297,3095,202,3784,1261,315,138,88,2314,4960,6,81,601902,06081601902,San Mateo,161,8.35,3761,75.83,24.17,3.61,53.21,2.28,62.95,37.05,10.43,46.15,0.0,0.0,25.61,22.41,6.13,1802,47.62,46.65
45,Union City,06001440338,06,001,440338,Census Tract 4403.38,45,UCTY,Union City,37.59063,-122.017388,10 Union Square,Union City,alameda,94587.0,BART,Heavy Rail,POINT (-122.017388 37.59063),Union City,peripheral,Census Tract 4403.38; Alameda County; California,3917,31.9,3917,1105,42,0,2210,4,335,221,138204.0,67539.0,3917,682,1751,1679,442,1237,1679,15,27,2878.0,984000.0,2159,1170,136,0,11,523,58530.0,2485,2201,284,2611,836,848,58,181,1882,3917,6,1,440338,06001440338,Alameda,42,2.5,2812,71.79,28.21,1.07,56.42,17.41,73.67,26.33,6.3,54.19,0.0,0.51,24.22,27.11,11.43,1923,73.65,48.05
46,Walnut Creek,06013339004,06,013,339004,Census Tract 3390.04,46,WCRK,Walnut Creek,37.905522,-122.067527,200 Ygnacio Valley Road,Walnut Creek,contracosta,94596.0,BART,Heavy Rail,POINT (-122.067527 37.905522),Walnut Creek,core,Census Tract 3390.04; Contra Costa County; California,3701,35.8,3701,1769,102,17,1128,0,164,521,129637.0,77763.0,3701,454,1999,1985,684,1301,1985,5,140,2902.0,725000.0,2428,1290,117,39,48,569,62390.0,2634,2453,181,3094,1140,626,168,57,1252,3701,6,13,339004,06013339004,Contra Costa,145,7.3,1932,52.2,47.8,2.76,30.48,12.27,65.54,34.46,4.82,53.13,1.61,1.98,23.43,25.7,6.87,1991,64.35,33.83
47,Warm Springs/South Fremont,06001441525,06,001,441525,Census Tract 4415.25,47,WARM,Warm Springs/South Fremont,37.502171,-121.939313,45193 Warm Springs Blvd,Fremont,alameda,94539.0,BART,Heavy Rail,POINT (-121.939313 37.502171),Warm Springs/South Fremont,peripheral,Census Tract 4415.25; Alameda County; California,3328,33.3,3328,307,51,38,2443,21,344,124,230268.0,105297.0,3317,164,1655,1405,701,704,1405,16,58,3123.0,1228400.0,2078,973,134,62,12,605,42060.0,2172,2123,49,2576,548,1037,174,192,2075,3328,6,1,441525,06001441525,Alameda,74,5.27,3021,90.78,9.22,1.53,73.41,4.94,50.11,49.89,6.45,46.82,2.98,0.58,29.11,20.24,2.26,1951,75.74,62.35
48,West Dublin/Pleasanton,06001450609,06,001,450609,Census Tract 4506.09,48,WDUB,West Dublin/Pleasanton,37.699756,-121.92824,6501 Golden Gate Drive,Dublin,alameda,94568.0,BART,Heavy Rail,POINT (-121.92824 37.699756),West Dublin/Pleasanton,peripheral,Census Tract 4506.09; Alameda County; California,4827,41.0,4827,2149,154,24,1728,0,103,669,168972.0,81400.0,4822,212,1853,1853,1237,616,1853,49,12,3293.0,1321300.0,2595,1283,356,0,86,739,,2729,2610,119,3807,1630,875,105,140,1575,4827,6,1,450609,06001450609,Alameda,61,3.29,2678,55.48,44.52,3.19,35.8,4.4,33.24,66.76,13.72,49.44,0.0,3.31,28.48,,4.36,2750,72.24,32.63
49,West Oakland,06001402200,06,001,402200,Census Tract 4022,49,WOAK,West Oakland,37.804872,-122.29514,1451 7th Street,Oakland,alameda,94607.0,BART,Heavy Rail,POINT (-122.29514 37.804872),West Oakland,core,Census Tract 4022; Alameda County; California,2775,33.9,2775,643,1281,82,169,14,247,339,125351.0,52963.0,2749,481,1160,1050,344,706,1050,24,119,2820.0,676400.0,1647,603,299,11,87,405,,1825,1702,112,2160,890,138,51,67,477,2775,6,1,402200,06001402200,Alameda,143,13.62,2132,76.83,23.17,46.16,6.09,17.5,67.24,32.76,18.15,36.61,0.67,5.28,24.59,,6.14,1146,53.06,17.19
50,22nd Street,06075061402,06,075,061402,Census Tract 614.02,50,22nd_street,22nd Street,37.756972,-122.392492,,,,,Caltrain,Commuter Rail,POINT (-122.392492 37.756972),22nd Street,peripheral,Census Tract 614.02; San Francisco County; California,2760,32.6,2760,1581,108,0,606,0,126,339,226290.0,131985.0,2753,125,1477,1228,451,777,1228,15,143,3501.0,2000001.0,1668,248,375,66,199,650,36865.0,1749,1718,31,1897,636,632,163,137,514,2760,6,75,61402,06075061402,San Francisco,158,12.87,1179,42.72,57.28,3.91,21.96,4.54,63.27,36.73,22.48,14.87,3.96,11.93,38.97,22.1,1.77,1568,82.66,18.62
51,Bayshore,06081600100,06,081,600100,Census Tract 6001,51,bayshore,Bayshore,37.70766,-122.401665,,,,,Caltrain,Commuter Rail,POINT (-122.401665 37.70766),Bayshore,peripheral,Census Tract 6001; San Mateo County; California,5295,43.8,5295,2206,1,69,1947,15,302,755,156310.0,104973.0,5244,360,2373,2181,1154,1027,2181,41,22,2653.0,1240900.0,2554,1043,174,0,0,790,53720.0,2959,2664,295,3921,1096,578,123,151,1951,5295,6,81,600100,06081600100,San Mateo,63,2.89,3089,58.34,41.66,0.02,36.77,6.86,47.09,52.91,6.81,40.84,0.0,0.0,30.93,21.03,9.97,1948,49.68,36.85
52,Belmont,06081608600,06,081,608600,Census Tract 6086,52,belmont,Belmont,37.52133,-122.2763,,,,,Caltrain,Commuter Rail,POINT (-122.2763 37.52133),Belmont,peripheral,Census Tract 6086; San Mateo County; California,4484,37.5,4484,1910,159,0,1572,1,452,390,146389.0,74639.0,4476,377,2059,1886,627,1259,1886,0,238,2735.0,1746700.0,2493,1285,176,42,56,755,47315.0,2852,2571,281,3198,1073,424,126,158,1670,4484,6,81,608600,06081608600,San Mateo,238,12.62,2574,57.4,42.6,3.55,35.06,8.42,66.76,33.24,7.06,51.54,1.68,2.25,30.28,18.98,9.85,1781,55.69,37.24
53,Blossom Hill Caltrain Station,06085512058,06,085,512058,Census Tract 5120.58,53,blossom_hill,Blossom Hill Caltrain Station,37.252606,-121.797907,,,,,Caltrain,Commuter Rail,POINT (-121.797907 37.252606),Blossom Hill Caltrain Station,peripheral,Census Tract 5120.58; Santa Clara County; California,5561,31.3,5561,1208,238,17,2474,0,427,1197,138750.0,73198.0,5561,245,2560,2452,463,1989,2452,13,89,3002.0,1113000.0,3815,2416,53,26,27,820,82980.0,4013,3908,90,3896,1171,732,10,162,2443,5561,6,85,512058,06085512058,Santa Clara,102,4.16,4353,78.28,21.72,4.28,44.49,4.41,81.12,18.88,1.39,63.33,0.68,0.71,21.49,21.75,2.24,2075,53.26,43.93
54,Broadway,06081605100,06,081,605100,Census Tract 6051,54,broadway,Broadway,37.58726,-122.362,,,,,Caltrain,Commuter Rail,POINT (-122.362 37.58726),Broadway,peripheral,Census Tract 6051; San Mateo County; California,3108,40.8,3108,1468,162,0,798,0,244,436,172054.0,96471.0,3108,216,1500,1269,589,680,1269,15,99,2483.0,2000001.0,1552,731,116,10,71,446,30545.0,1719,1593,126,2196,619,407,226,98,983,3108,6,81,605100,06081605100,San Mateo,114,8.98,1640,52.77,47.23,5.21,25.68,6.95,53.59,46.41,7.47,47.1,0.64,4.57,28.74,19.68,7.33,1350,61.48,31.63
55,Burlingame,06081605400,06,081,605400,Census Tract 6054,55,burlingame,Burlingame,37.57985,-122.34418,,,,,Caltrain,Commuter Rail,POINT (-122.34418 37.57985),Burlingame,peripheral,Census Tract 6054; San Mateo County; California,6557,40.3,6557,3660,0,8,1449,20,692,728,166972.0,85798.0,6557,355,3113,2822,1271,1551,2822,0,88,3365.0,2000001.0,3966,2564,289,26,149,728,118645.0,4224,4068,156,5013,1764,577,311,260,1992,6557,6,81,605400,06081605400,San Mateo,88,3.12,2897,44.18,55.82,0.0,22.1,5.41,54.96,45.04,7.29,64.65,0.66,3.76,18.36,29.92,3.69,2912,58.09,30.38
56,California Avenue,06085511400,06,085,511400,Census Tract 5114,56,california_ave,California Avenue,37.428834,-122.14113,,,,,Caltrain,Commuter Rail,POINT (-122.14113 37.428834),California Avenue,peripheral,Census Tract 5114; Santa Clara County; California,3608,45.1,3608,1959,4,0,1289,0,44,312,250001.0,187708.0,3608,52,1518,1384,928,456,1384,0,54,3501.0,2000001.0,1833,775,32,155,57,749,25245.0,1870,1833,37,2616,736,863,192,488,1266,3608,6,85,511400,06085511400,Santa Clara,54,3.9,1649,45.7,54.3,0.11,35.73,1.44,32.95,67.05,1.75,42.28,8.46,3.11,40.86,13.77,1.98,2279,87.12,35.09
57,Capitol Caltrain Station,06085503127,06,085,503127,Census Tract 5031.27,57,capitol,Capitol Caltrain Station,37.284016,-121.841899,,,,,Caltrain,Commuter Rail,POINT (-121.841899 37.284016),Capitol Caltrain Station,peripheral,Census Tract 5031.27; Santa Clara County; California,5300,34.9,5300,1241,392,18,2891,0,93,665,191908.0,100966.0,5300,392,2364,2293,1823,470,2293,67,0,3470.0,966100.0,3588,2295,146,0,0,1022,,3692,3658,34,4230,1250,1382,187,244,2709,5300,6,85,503127,06085503127,Santa Clara,67,2.92,4059,76.58,23.42,7.4,54.55,7.4,20.5,79.5,4.07,63.96,0.0,0.0,28.48,,0.92,3063,72.41,51.11
58,College Park,06085500300,06,085,500300,Census Tract 5003,58,college_park,College Park,37.34289,-121.91565,,,,,Caltrain,Commuter Rail,POINT (-121.91565 37.34289),College Park,peripheral,Census Tract 5003; Santa Clara County; California,4195,37.0,4195,1736,395,165,704,0,703,492,107431.0,80154.0,4184,401,2028,1872,568,1304,1872,0,51,2885.0,1095000.0,2637,1314,187,28,98,748,46395.0,2944,2701,243,3522,1473,433,103,167,1178,4195,6,85,500300,06085500300,Santa Clara,51,2.72,2459,58.62,41.38,9.42,16.78,9.58,69.66,30.34,7.09,49.83,1.06,3.72,28.37,17.59,8.25,2176,61.78,28.08
59,Gilroy,06085512603,06,085,512603,Census Tract 5126.03,59,gilroy,Gilroy,37.004466,-121.566727,,,,,Caltrain,Commuter Rail,POINT (-121.566727 37.004466),Gilroy,peripheral,Census Tract 5126.03; Santa Clara County; California,4877,30.0,4877,769,64,63,170,0,1213,2598,90139.0,28652.0,4818,714,1283,1203,208,995,1203,0,69,1863.0,948700.0,2368,1738,15,10,80,84,68875.0,2619,2502,117,3002,208,67,22,0,1844,4877,6,85,512603,06085512603,Santa Clara,69,5.74,4108,84.23,15.77,1.31,3.49,14.82,82.71,17.29,0.63,73.4,0.42,3.38,3.55,29.09,4.47,297,9.89,37.81
60,Hayward Park,06081607600,06,081,607600,Census Tract 6076,60,hayward_park,Hayward Park,37.553161,-122.309494,,,,,Caltrain,Commuter Rail,POINT (-122.309494 37.553161),Hayward Park,peripheral,Census Tract 6076; San Mateo County; California,4566,34.0,4566,1846,43,0,1189,194,584,710,133295.0,85306.0,4557,315,2044,1929,707,1222,1929,43,52,2684.0,1592900.0,2676,1619,57,0,8,736,48100.0,2840,2699,141,3314,922,668,120,130,1637,4566,6,81,607600,06081607600,San Mateo,95,4.92,2720,59.57,40.43,0.94,26.04,6.91,63.35,36.65,2.13,60.5,0.0,0.3,27.5,17.97,4.96,1840,55.52,35.85
61,Hillsdale,06081607500,06,081,607500,Census Tract 6075,61,hillsdale,Hillsdale,37.542392678,-122.301612061,,,,,Caltrain,Commuter Rail,POINT (-122.301612061 37.542392678),Hillsdale,peripheral,Census Tract 6075; San Mateo County; California,6569,33.9,6569,1917,92,49,2897,69,209,1336,233378.0,98334.0,6548,477,2780,2538,764,1774,2538,0,132,3501.0,1673100.0,3731,1854,243,20,192,1196,66250.0,4178,3978,200,4637,1473,1294,220,263,2867,6569,6,81,607500,06081607500,San Mateo,132,5.2,4652,70.82,29.18,1.4,44.1,7.28,69.9,30.1,6.51,49.69,0.54,5.15,32.06,17.76,4.79,3250,70.09,43.64
62,Lawrence,06085508708,06,085,508708,Census Tract 5087.08,62,lawrence,Lawrence,37.3707,-121.9969,,,,,Caltrain,Commuter Rail,POINT (-121.9969 37.3707),Lawrence,peripheral,Census Tract 5087.08; Santa Clara County; California,6682,30.6,6682,826,15,0,5095,0,249,497,250001.0,151533.0,6682,491,3411,3172,927,2245,3172,14,451,3501.0,1694000.0,4831,2179,155,55,51,2025,54690.0,5273,4876,397,5361,1180,2821,16,752,4606,6682,6,85,508708,06085508708,Santa Clara,465,14.66,5856,87.64,12.36,0.22,76.25,7.35,70.78,29.22,3.21,45.1,1.14,1.06,41.92,11.32,7.53,4769,88.96,68.93
63,Menlo Park,06081612500,06,081,612500,Census Tract 6125,63,menlo_park,Menlo Park,37.4548,-122.18245,,,,,Caltrain,Commuter Rail,POINT (-122.18245 37.4548),Menlo Park,peripheral,Census Tract 6125; San Mateo County; California,3937,35.0,3937,2293,0,16,1006,0,216,406,165521.0,108439.0,3937,203,2072,1684,542,1142,1684,0,236,3251.0,2000001.0,2165,930,96,336,50,659,,2327,2240,87,2619,665,662,275,481,1392,3937,6,81,612500,06081612500,San Mateo,236,14.01,1644,41.76,58.24,0.0,25.55,5.16,67.81,32.19,4.43,42.96,15.52,2.31,30.44,,3.74,2083,79.53,35.36
64,Millbrae Caltrain Station,06081604400,06,081,604400,Census Tract 6044,64,place_MLBR,Millbrae Caltrain Station,37.5999,-122.38675,,,,,Caltrain,Commuter Rail,POINT (-122.38675 37.5999),Millbrae Caltrain Station,peripheral,Census Tract 6044; San Mateo County; California,5131,43.4,5131,1376,44,31,2079,282,563,756,133654.0,64422.0,4943,353,2082,1922,835,1087,1922,0,131,3083.0,1204500.0,2722,1571,261,43,64,477,63590.0,3156,2808,348,3918,1065,485,80,107,2519,5131,6,81,604400,06081604400,San Mateo,131,6.82,3755,73.18,26.82,0.86,40.52,7.14,56.56,43.44,9.59,57.71,1.58,2.35,17.52,23.36,11.03,1737,44.33,49.09
65,Morgan Hill,06085512312,06,085,512312,Census Tract 5123.12,65,morgan_hill,Morgan Hill,37.129644,-121.650558,,,,,Caltrain,Commuter Rail,POINT (-121.650558 37.129644),Morgan Hill,peripheral,Census Tract 5123.12; Santa Clara County; California,4066,38.2,4066,1679,89,0,751,0,330,1217,206208.0,69346.0,4063,27,1313,1261,916,345,1261,0,0,3244.0,1058100.0,1798,904,17,0,11,602,37175.0,2182,2065,117,2575,935,269,32,43,729,4066,6,85,512312,06085512312,Santa Clara,0,0.0,2387,58.71,41.29,2.19,18.47,0.66,27.36,72.64,0.95,50.28,0.0,0.61,33.48,20.68,5.36,1279,49.67,17.93
66,Mountain View,06085509201,06,085,509201,Census Tract 5092.01,66,mountain_view,Mountain View,37.395067,-122.07722,,,,,Caltrain,Commuter Rail,POINT (-122.07722 37.395067),Mountain View,peripheral,Census Tract 5092.01; Santa Clara County; California,5287,38.8,5287,2530,74,36,1801,0,342,504,182611.0,124605.0,5287,93,2779,2681,1088,1593,2681,115,186,3005.0,1610000.0,3250,1415,222,172,82,1238,,3425,3321,104,4322,1120,1290,281,307,1925,5287,6,85,509201,06085509201,Santa Clara,301,11.23,2757,52.15,47.85,1.4,34.06,1.76,59.42,40.58,6.83,43.54,5.29,2.52,38.09,,3.04,2998,69.37,36.41
67,Palo Alto,06085511302,06,085,511302,Census Tract 5113.02,67,palo_alto,Palo Alto,37.44322,-122.16429,,,,,Caltrain,Commuter Rail,POINT (-122.16429 37.44322),Palo Alto,core,Census Tract 5113.02; Santa Clara County; California,3880,48.6,3880,1779,18,86,1080,0,548,369,139167.0,95027.0,3727,680,2430,1886,527,1359,1886,53,596,2674.0,1934700.0,1928,587,42,201,162,632,,1953,1928,25,3071,1151,620,180,350,1724,3880,6,85,511302,06085511302,Santa Clara,649,34.41,2101,54.15,45.85,0.46,27.84,18.25,72.06,27.94,2.18,30.45,10.43,8.4,32.78,,1.28,2301,74.93,44.43
68,Redwood City,06081610202,06,081,610202,Census Tract 6102.02,68,redwood_city,Redwood City,37.485865,-122.2315,,,,,Caltrain,Commuter Rail,POINT (-122.2315 37.485865),Redwood City,peripheral,Census Tract 6102.02; San Mateo County; California,5064,31.7,5064,2087,258,69,1745,14,494,397,185920.0,122171.0,4575,482,2836,2625,86,2539,2625,0,414,3501.0,,3598,1433,370,24,271,1211,61145.0,3724,3584,62,4369,1324,1096,345,374,2281,5064,6,81,610202,06081610202,San Mateo,414,15.77,2977,58.79,41.21,5.09,34.46,10.54,96.72,3.28,10.28,39.83,0.67,7.53,33.66,16.99,1.66,3139,71.85,45.04
69,San Antonio,06085509404,06,085,509404,Census Tract 5094.04,69,san_antonio,San Antonio,37.407239431,-122.107115562,,,,,Caltrain,Commuter Rail,POINT (-122.107115562 37.407239431),San Antonio,peripheral,Census Tract 5094.04; Santa Clara County; California,6256,33.9,6256,2023,9,19,3346,0,188,671,203864.0,142047.0,6256,231,3612,3208,1066,2142,3208,68,171,3501.0,1551800.0,3926,2167,278,34,91,1194,73525.0,4163,4019,144,4909,1335,1533,623,564,3434,6256,6,85,509404,06085509404,Santa Clara,239,7.45,4233,67.66,32.34,0.14,53.48,3.69,66.77,33.23,7.08,55.2,0.87,2.32,30.41,18.73,3.46,4055,82.6,54.89
