variable,core_mean,core_sd,peri_mean,peri_sd,difference,ci_low,ci_high,p_value,cohens_d
Total Amenities,17.33823529411765,14.511263671934342,8.615384615384615,5.798387860013154,8.722850678733034,3.8383484162895924,13.634276018099547,0.0091990800919908,0.7894094441049698
Grocery Stores,2.1911764705882355,2.023809402653791,1.0769230769230769,0.8284868934053083,1.1142533936651586,0.4415723981900453,1.7828902714932127,0.044795520447955206,0.7205851725103483
Parks,4.794117647058823,3.5955807169414964,3.076923076923077,3.3618112897557166,1.7171945701357463,-0.4611990950226245,3.487669683257918,0.10838916108389161,0.4933532731014786
Clinics,1.8088235294117647,2.371753836926543,0.38461538461538464,0.48650425541051995,1.4242081447963801,0.8143947963800906,2.092873303167421,0.019598040195980403,0.8318962410553337
Pharmacies,0.9558823529411765,1.1171632079593352,0.6153846153846154,0.9230769230769231,0.3404977375565611,-0.27157805429864246,0.8835972850678732,0.38576142385761425,0.3322819062738483
