variable,core_mean,peri_mean,difference,ci_low,ci_high,p_value,cohens_d,p_adjusted,significant
Total Amenities,17.33823529411765,8.615384615384615,8.722850678733034,3.8383484162895924,13.634276018099547,0.0091990800919908,0.7894094441049698,0.059874609124827435,True
Grocery Stores,2.1911764705882355,1.0769230769230769,1.1142533936651586,0.4415723981900453,1.7828902714932127,0.044795520447955206,0.7205851725103483,0.059874609124827435,False
Parks,4.794117647058823,3.076923076923077,1.7171945701357463,-0.4611990950226245,3.487669683257918,0.10838916108389161,0.4933532731014786,0.059874609124827435,False
Clinics,1.8088235294117647,0.38461538461538464,1.4242081447963801,0.8143947963800906,2.092873303167421,0.019598040195980403,0.8318962410553337,0.059874609124827435,True
Pharmacies,0.9558823529411765,0.6153846153846154,0.3404977375565611,-0.27157805429864246,0.8835972850678732,0.38576142385761425,0.3322819062738483,0.059874609124827435,False
