station_name,agency,latitude,longitude,GEOID,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,median_income,pct_no_vehicle,pct_nonwhite,total_pop,station_type
South San Francisco,BART,37.664245,-122.44396,06081601902,6,2,1,0,1,1,0,0,125096.0,8.35,75.83,4960,core
Union City,BART,37.59063,-122.017388,06001440338,10,5,2,0,0,0,1,0,138204.0,2.5,71.79,3917,core
Walnut Creek,BART,37.905522,-122.067527,06013339004,5,0,2,0,0,0,1,1,129637.0,7.3,52.2,3701,peripheral
Warm Springs/South Fremont,BART,37.502171,-121.939313,06001441525,0,0,0,0,0,0,0,0,230268.0,5.27,90.78,3328,peripheral
West Dublin/Pleasanton,BART,37.699756,-121.92824,06001450609,7,1,2,0,1,0,1,0,168972.0,3.29,55.48,4827,peripheral
West Oakland,BART,37.804872,-122.29514,06001402200,16,0,8,2,0,0,0,0,125351.0,13.62,76.83,2775,core
22nd Street,Caltrain,37.756972,-122.392492,06075061402,22,0,10,1,1,0,1,0,226290.0,12.87,42.72,2760,core
Bayshore,Caltrain,37.70766,-122.401665,06081600100,4,1,1,0,0,0,0,0,156310.0,2.89,58.34,5295,core
Belmont,Caltrain,37.52133,-122.2763,06081608600,11,2,5,0,0,0,1,0,146389.0,12.62,57.4,4484,core
Blossom Hill Caltrain Station,Caltrain,37.252606,-121.797907,06085512058,5,1,1,1,0,0,0,0,138750.0,4.16,78.28,5561,core
Broadway,Caltrain,37.58726,-122.362,06081605100,7,1,2,0,1,0,0,0,172054.0,8.98,52.77,3108,core
Burlingame,Caltrain,37.57985,-122.34418,06081605400,11,2,5,2,1,0,0,0,166972.0,3.12,44.18,6557,core
California Avenue,Caltrain,37.428834,-122.14113,06085511400,11,3,3,3,0,0,0,0,250001.0,3.9,45.7,3608,core
Capitol Caltrain Station,Caltrain,37.284016,-121.841899,06085503127,10,1,3,0,0,0,0,0,191908.0,2.92,76.58,5300,core
College Park,Caltrain,37.34289,-121.91565,06085500300,12,2,2,3,0,0,2,1,107431.0,2.72,58.62,4195,core
Gilroy,Caltrain,37.004466,-121.566727,06085512603,16,2,2,0,2,0,3,1,90139.0,5.74,84.23,4877,core
Hayward Park,Caltrain,37.553161,-122.309494,06081607600,14,4,5,1,2,0,0,0,133295.0,4.92,59.57,4566,core
Hillsdale,Caltrain,37.542392678,-122.301612061,06081607500,9,0,7,1,0,0,0,0,233378.0,5.2,70.82,6569,core
Lawrence,Caltrain,37.3707,-121.9969,06085508708,9,2,4,0,0,0,1,0,250001.0,14.66,87.64,6682,core
Menlo Park,Caltrain,37.4548,-122.18245,06081612500,16,3,5,1,1,0,5,0,165521.0,14.01,41.76,3937,core
Millbrae,Caltrain,37.5999,-122.38675,06081604400,23,5,4,3,2,0,0,0,133654.0,6.82,73.18,5131,core
Morgan Hill,Caltrain,37.129644,-121.650558,06085512312,20,0,14,0,0,0,1,2,206208.0,0.0,58.71,4066,core
Mountain View,Caltrain,37.395067,-122.07722,06085509201,13,0,5,2,2,0,2,0,182611.0,11.23,52.15,5287,core
Palo Alto,Caltrain,37.44322,-122.16429,06085511302,27,3,9,5,3,0,5,0,139167.0,34.41,54.15,3880,core
Redwood City,Caltrain,37.485865,-122.2315,06081610202,21,4,5,3,2,1,1,0,185920.0,15.77,58.79,5064,core
San Antonio,Caltrain,37.407239431,-122.107115562,06085509404,20,5,12,1,1,0,0,0,203864.0,7.45,67.66,6256,core
San Bruno Caltrain Station,Caltrain,37.630460335,-122.411709042,06081604104,13,3,5,0,0,0,0,0,130077.0,7.78,77.85,3372,core
San Carlos,Caltrain,37.508033,-122.2602,06081609100,9,1,3,1,1,0,0,0,242750.0,0.89,50.29,1541,core
San Francisco Caltrain Station,Caltrain,37.776404,-122.394911,06075060703,25,3,9,5,1,0,2,2,179727.0,32.35,57.98,6388,core
San Jose Diridon,Caltrain,37.329694,-121.903208,06085500300,19,1,4,1,0,0,0,0,107431.0,2.72,58.62,4195,peripheral
San Martin,Caltrain,37.085984,-121.61048,06085512401,4,1,0,0,0,0,0,1,197540.0,1.76,52.79,3961,core
San Mateo,Caltrain,37.56824,-122.3239,06081606202,20,4,4,4,1,1,4,0,138250.0,10.84,81.56,3428,core
Santa Clara Caltrain Station,Caltrain,37.353384,-121.936465,06085505203,7,0,3,0,1,0,1,0,139028.0,9.28,51.2,5725,core
South San Francisco Caltrain Station,Caltrain,37.655941416,-122.404979006,06081602300,12,1,4,0,0,0,0,1,146750.0,6.81,81.74,4245,core
Stanford,Caltrain,37.43895,-122.15715,06085511301,22,3,5,6,1,0,6,0,238750.0,7.43,42.81,4163,core
Sunnyvale,Caltrain,37.378934,-122.0315,06085508707,5,1,1,0,1,0,1,0,173165.0,9.09,78.88,3907,core
Tamien Caltrain Station,Caltrain,37.31269,-121.8847,06085503113,10,1,3,0,1,0,1,0,95625.0,13.07,78.55,4028,core
