variable,core_mean,peri_mean,difference,p_value,cohens_d,glass delta
Total Amenities,17.33823529411765,8.615384615384615,8.722850678733034,0.0091990800919908,0.7894094441049698,1.5043579162559237
Grocery Stores,2.1911764705882355,1.0769230769230769,1.1142533936651586,0.044795520447955206,0.7205851725103483,1.3449257948852655
Parks,4.794117647058823,3.076923076923077,1.7171945701357463,0.10838916108389161,0.4933532731014786,0.5107944563600192
Clinics,1.8088235294117647,0.38461538461538464,1.4242081447963801,0.019598040195980403,0.8318962410553337,2.927432039817639
Pharmacies,0.9558823529411765,0.6153846153846154,0.3404977375565611,0.38576142385761425,0.3322819062738483,0.3688725490196078
